Designator,Mid X,Mid Y,Rotation,Layer
D1,64.34875,-65.395,90.0,bottom
D10,123.88,-74.92,90.0,bottom
D11,142.93,-79.6825,90.0,bottom
D12,161.98,-84.445,90.0,bottom
D13,64.34875,-103.495,90.0,bottom
D14,85.78,-103.495,90.0,bottom
D15,104.83,-98.7325,90.0,bottom
D16,123.88,-93.97,90.0,bottom
D17,142.93,-98.7325,90.0,bottom
D18,161.98,-103.495,90.0,bottom
D19,64.34875,-122.545,90.0,bottom
D2,85.78,-65.395,90.0,bottom
D20,85.78,-122.545,90.0,bottom
D21,104.83,-117.7825,90.0,bottom
D22,123.88,-113.02,90.0,bottom
D23,142.93,-117.7825,90.0,bottom
D24,161.98,-122.545,90.0,bottom
D25,64.34875,-141.595,90.0,bottom
D26,85.78,-141.595,90.0,bottom
D27,104.83,-136.8325,90.0,bottom
D28,123.88,-132.07,90.0,bottom
D29,142.93,-136.8325,90.0,bottom
D3,104.83,-60.6325,90.0,bottom
D30,214.954321,-152.4241292115813,120.0,bottom
D31,196.075287,-147.0235752115813,120.0,bottom
D32,205.429321,-168.92191321158128,120.0,bottom
D33,167.671253,-158.12080521158128,120.0,bottom
D34,184.169037,-167.6458052115813,120.0,bottom
D35,195.904321,-185.41969721158128,120.0,bottom
D4,123.88,-55.87,90.0,bottom
D5,142.93,-60.6325,90.0,bottom
D6,161.98,-65.395,90.0,bottom
D7,64.34875,-84.445,90.0,bottom
D8,85.78,-84.445,90.0,bottom
D9,104.83,-79.6825,90.0,bottom
S1,54.76875,-64.51,0.0,top
S10,114.3,-74.035,0.0,top
S11,133.35,-78.7975,0.0,top
S12,152.4,-83.56,0.0,top
S13,54.76875,-102.61,0.0,top
S14,76.2,-102.61,0.0,top
S15,95.25,-97.8475,0.0,top
S16,114.3,-93.085,0.0,top
S17,133.35,-97.8475,0.0,top
S18,152.4,-102.61,0.0,top
S19,54.76875,-121.66,0.0,top
S2,76.2,-64.51,0.0,top
S20,76.2,-121.66,0.0,top
S21,95.25,-116.8975,0.0,top
S22,114.3,-112.135,0.0,top
S23,133.35,-116.8975,0.0,top
S24,152.4,-121.66,0.0,top
S25,54.76875,-140.71,0.0,top
S26,76.2,-140.71,0.0,top
S27,95.25,-135.9475,0.0,top
S28,114.3,-131.185,0.0,top
S29,133.35,-135.9475,0.0,top
S3,95.25,-59.7475,0.0,top
S30,207.100298,-146.8676970008067,330.0,top
S31,188.221264,-141.4671430008067,330.0,top
S32,197.575298,-163.36548100080668,330.0,top
S33,159.81723,-152.56437300080668,330.0,top
S34,176.315014,-162.0893730008067,330.0,top
S35,188.050298,-179.86326500080668,330.0,top
S4,114.3,-54.985,0.0,top
S5,133.35,-59.7475,0.0,top
S6,152.4,-64.51,0.0,top
S7,54.76875,-83.56,0.0,top
S8,76.2,-83.56,0.0,top
S9,95.25,-78.7975,0.0,top
U1,180.91,-84.215,0.0,top
U2,187.4625,-113.8,270.0,top
