Designator,Mid X,Mid Y,Rotation,Layer
D1,119.38,-56.37,90.0,bottom
D10,59.84875,-84.945,90.0,bottom
D11,81.28,-84.945,90.0,bottom
D12,157.48,-84.945,90.0,bottom
D13,119.38,-94.47,90.0,bottom
D14,100.33,-99.2325,90.0,bottom
D15,138.43,-99.2325,90.0,bottom
D16,59.84875,-103.995,90.0,bottom
D17,81.28,-103.995,90.0,bottom
D18,157.48,-103.995,90.0,bottom
D19,119.38,-113.52,90.0,bottom
D2,100.33,-61.1325,90.0,bottom
D20,100.33,-118.2825,90.0,bottom
D21,138.43,-118.2825,90.0,bottom
D22,59.84875,-123.045,90.0,bottom
D23,81.28,-123.045,90.0,bottom
D24,157.48,-123.045,90.0,bottom
D25,119.38,-132.57,90.0,bottom
D26,100.33,-137.3325,90.0,bottom
D27,138.43,-137.3325,90.0,bottom
D28,59.84875,-142.095,90.0,bottom
D29,81.28,-142.095,90.0,bottom
D3,138.43,-61.1325,90.0,bottom
D30,210.807207,-150.60714121158128,120.0,bottom
D31,191.928173,-145.20658721158128,120.0,bottom
D32,201.282207,-167.1049252115813,120.0,bottom
D33,163.524139,-156.30381721158128,120.0,bottom
D34,180.021923,-165.82881721158128,120.0,bottom
D35,191.757207,-183.6027092115813,120.0,bottom
D4,59.84875,-65.895,90.0,bottom
D5,81.28,-65.895,90.0,bottom
D6,157.48,-65.895,90.0,bottom
D7,119.38,-75.42,90.0,bottom
D8,100.33,-80.1825,90.0,bottom
D9,138.43,-80.1825,90.0,bottom
S1,114.3,-57.15,0.0,top
S10,54.76875,-85.725,0.0,top
S11,76.2,-85.725,0.0,top
S12,152.4,-85.725,0.0,top
S13,114.3,-95.25,0.0,top
S14,95.25,-100.0125,0.0,top
S15,133.35,-100.0125,0.0,top
S16,54.76875,-104.775,0.0,top
S17,76.2,-104.775,0.0,top
S18,152.4,-104.775,0.0,top
S19,114.3,-114.3,0.0,top
S2,95.25,-61.9125,0.0,top
S20,95.25,-119.0625,0.0,top
S21,133.35,-119.0625,0.0,top
S22,54.76875,-123.825,0.0,top
S23,76.2,-123.825,0.0,top
S24,152.4,-123.825,0.0,top
S25,114.3,-133.35,0.0,top
S26,95.25,-138.1125,0.0,top
S27,133.35,-138.1125,0.0,top
S28,54.76875,-142.875,0.0,top
S29,76.2,-142.875,0.0,top
S3,133.35,-61.9125,0.0,top
S30,206.017798,-148.742642,330.0,top
S31,187.138764,-143.342088,330.0,top
S32,196.492798,-165.240426,330.0,top
S33,158.73473,-154.439318,330.0,top
S34,175.232514,-163.964318,330.0,top
S35,186.967798,-181.73821,330.0,top
S4,54.76875,-66.675,0.0,top
S5,76.2,-66.675,0.0,top
S6,152.4,-66.675,0.0,top
S7,114.3,-76.2,0.0,top
S8,95.25,-80.9625,0.0,top
S9,133.35,-80.9625,0.0,top
U1,217.5,-65.785,0.0,top
