Designator,Mid X,Mid Y,Rotation,Layer
D1,276.17,-65.395,90.0,bottom
D10,314.27,-74.92,90.0,bottom
D11,333.32,-79.6825,90.0,bottom
D12,352.37,-84.445,90.0,bottom
D13,371.42,-84.445,90.0,bottom
D14,392.85125,-84.445,90.0,bottom
D15,276.17,-103.495,90.0,bottom
D16,295.22,-98.7325,90.0,bottom
D17,314.27,-93.97,90.0,bottom
D18,333.32,-98.7325,90.0,bottom
D19,352.37,-103.495,90.0,bottom
D2,295.22,-60.6325,90.0,bottom
D20,371.42,-103.495,90.0,bottom
D21,392.85125,-103.495,90.0,bottom
D22,276.17,-122.545,90.0,bottom
D23,295.22,-117.7825,90.0,bottom
D24,314.27,-113.02,90.0,bottom
D25,333.32,-117.7825,90.0,bottom
D26,352.37,-122.545,90.0,bottom
D27,371.42,-122.545,90.0,bottom
D28,392.85125,-122.545,90.0,bottom
D29,223.195679,-152.4241292115813,60.0,bottom
D3,314.27,-55.87,90.0,bottom
D30,295.22,-136.8325,90.0,bottom
D31,314.27,-132.07,90.0,bottom
D32,333.32,-136.8325,90.0,bottom
D33,352.37,-141.595,90.0,bottom
D34,371.42,-141.595,90.0,bottom
D35,392.85125,-141.595,90.0,bottom
D36,232.720679,-168.92191321158128,60.0,bottom
D37,242.074713,-147.0235752115813,60.0,bottom
D38,242.245679,-185.41969721158128,60.0,bottom
D39,253.980963,-167.6458052115813,60.0,bottom
D4,333.32,-60.6325,90.0,bottom
D40,270.478747,-158.12080521158128,60.0,bottom
D5,352.37,-65.395,90.0,bottom
D6,371.42,-65.395,90.0,bottom
D7,392.85125,-65.395,90.0,bottom
D8,276.17,-84.445,90.0,bottom
D9,295.22,-79.6825,90.0,bottom
S1,285.75,-64.51,0.0,top
S10,323.85,-74.035,0.0,top
S11,342.9,-78.7975,0.0,top
S12,361.95,-83.56,0.0,top
S13,381.0,-83.56,0.0,top
S14,402.43125,-83.56,0.0,top
S15,285.75,-102.61,0.0,top
S16,304.8,-97.8475,0.0,top
S17,323.85,-93.085,0.0,top
S18,342.9,-97.8475,0.0,top
S19,361.95,-102.61,0.0,top
S2,304.8,-59.7475,0.0,top
S20,381.0,-102.61,0.0,top
S21,402.43125,-102.61,0.0,top
S22,285.75,-121.66,0.0,top
S23,304.8,-116.8975,0.0,top
S24,323.85,-112.135,0.0,top
S25,342.9,-116.8975,0.0,top
S26,361.95,-121.66,0.0,top
S27,381.0,-121.66,0.0,top
S28,402.43125,-121.66,0.0,top
S29,231.049702,-146.8676970008067,30.0,top
S3,323.85,-54.985,0.0,top
S30,304.8,-135.9475,0.0,top
S31,323.85,-131.185,0.0,top
S32,342.9,-135.9475,0.0,top
S33,361.95,-140.71,0.0,top
S34,381.0,-140.71,0.0,top
S35,402.43125,-140.71,0.0,top
S36,240.574702,-163.36548100080668,30.0,top
S37,249.928736,-141.4671430008067,30.0,top
S38,250.099702,-179.86326500080668,30.0,top
S39,261.834986,-162.0893730008067,30.0,top
S4,342.9,-59.7475,0.0,top
S40,278.33277,-152.56437300080668,30.0,top
S5,361.95,-64.51,0.0,top
S6,381.0,-64.51,0.0,top
S7,402.43125,-64.51,0.0,top
S8,285.75,-83.56,0.0,top
S9,304.8,-78.7975,0.0,top
U1,257.49,-83.635,0.0,top
U2,250.2375,-114.0,90.0,top
